Chi 1,Chi 2,Prevalence,H-Bonds,Clashes
 -70.3, -12.8,0.219403 ,2,4
-173.9,  85.4,0.136207 ,4,1
-173.9, -65.6,0.109345 ,4,0
-173.9, -34.6,0.094056 ,4,0
 -70.3, -39.6,0.090914 ,2,3
-173.9,  -5.6,0.086938 ,4,0
-173.9,  57.4,0.077076 ,4,2
 -70.3,  11.9,0.062561 ,2,4
-173.9,  24.6,0.060515 ,4,0
 -70.3, -69.9,0.029428 ,0,2
 -70.3,  78.7,0.011201 ,1,3
 -70.3,  45.7,0.010791 ,1,2
  61.4, -64.7,0.003580 ,3,6
  61.4, -36.7,0.002359 ,2,5
  61.4,  87.4,0.002310 ,3,6
  61.4,  24.8,0.001170 ,2,6
  61.4,  -5.4,0.001099 ,2,6
  61.4,  56.2,0.001046 ,3,8
