Chi 1,Chi 2,Prevalence,H-Bonds,Clashes
 -70.1, -15.4,0.194164 ,3,3
-174.5,  83.4,0.126551 ,4,0
-174.5, -67.3,0.107644 ,4,0
-174.5,  -7.6,0.105218 ,4,0
-174.5, -36.3,0.104875 ,5,0
 -70.1, -43.0,0.102051 ,3,2
-174.5,  55.4,0.073811 ,3,0
-174.5,  22.0,0.060962 ,4,0
 -70.1,   9.4,0.057634 ,3,3
 -70.1, -71.6,0.032663 ,3,2
 -70.1,  76.8,0.008504 ,1,1
 -70.1,  42.5,0.008314 ,3,3
  60.1, -60.7,0.005797 ,2,5
  60.1, -32.8,0.003848 ,2,6
  60.1, -88.6,0.003712 ,3,6
  60.1,  -2.2,0.001506 ,2,5
  60.1,  61.0,0.001470 ,1,6
  60.1,  28.8,0.001277 ,2,5
