Chi 1,Chi 2,Prevalence,H-Bonds,Clashes
-177.3, -10.2,0.504908 ,3,0
-177.3,  15.1,0.194733 ,4,0
-177.3, -35.7,0.184528 ,3,0
 -68.8, -20.0,0.024538 ,1,2
-177.3, -65.8,0.023342 ,3,0
-177.3,  45.1,0.021683 ,3,0
 -68.8, -48.2,0.017079 ,1,3
-177.3,  79.6,0.008996 ,2,1
 -68.8,   5.1,0.008253 ,2,1
 -68.8, -75.5,0.005424 ,1,3
  61.8,  -5.8,0.001252 ,1,1
 -68.8,  37.1,0.001094 ,2,1
  61.8, -35.0,0.001083 ,1,2
 -68.8,  73.0,0.000959 ,0,2
  61.8,  21.7,0.000821 ,2,1
  61.8, -64.3,0.000694 ,1,2
  61.8,  86.2,0.000350 ,1,3
  61.8,  52.7,0.000264 ,1,2
