Chi 1,Chi 2,Prevalence,H-Bonds,Clashes
 -71.1, -12.8,0.347538 ,3,5
 -71.1, -38.9,0.124304 ,3,4
-173.1,  84.4,0.122092 ,4,1
 -71.1,  11.4,0.089887 ,3,5
-173.1, -67.7,0.077575 ,4,0
-173.1,  56.9,0.062138 ,4,2
-173.1, -37.2,0.035520 ,4,0
-173.1,  24.7,0.035251 ,3,1
 -71.1, -69.6,0.030382 ,0,4
-173.1,  -5.3,0.030090 ,4,0
 -71.1,  45.3,0.011837 ,1,5
 -71.1,  78.5,0.011116 ,0,4
  62.7, -69.7,0.006923 ,3,6
  62.7, -41.8,0.004509 ,2,8
  62.7,  82.4,0.004403 ,2,6
  62.7,  20.6,0.002245 ,2,7
  62.7,  50.8,0.002206 ,3,5
  62.7, -11.0,0.001984 ,2,7
